temps;APEG;TV;TPC;MDR;EFN;TRH1
temps;Angle Pivot;Gyromètre;Consigne tangage PC;Commande Moteur Droit;Effort milli N;trs/min Droit
0009.327;-501;0;51;4416;245;2324
0009.345;-481;2;51;4416;245;2324
0009.358;-501;0;51;4416;245;2324
0009.375;-501;0;51;4416;245;2324
0009.388;-481;2;51;4416;245;2324
0009.406;-481;0;51;4416;245;2324
0009.419;-481;0;51;4416;245;2301
0009.436;-481;2;51;4416;245;2324
0009.453;-481;4;51;4416;245;2301
0009.466;-481;2;51;4416;245;2301
0009.484;-481;4;51;4416;245;2324
0009.497;-481;2;51;4416;245;2301
0009.519;-501;0;51;4416;245;2301
0009.532;-481;0;51;4416;245;2301
0009.545;-501;0;51;4416;245;2301
0009.562;-501;0;51;4416;245;2278
0009.575;-481;0;51;4416;245;2301
0009.593;-501;0;51;4416;245;2278
0009.606;-481;0;51;4416;245;2301
0009.623;-481;2;51;4416;245;2278
0009.640;-481;0;51;4416;245;2301
0009.658;-481;2;51;4416;245;2278
0009.671;-501;0;51;4416;245;2301
0009.684;-481;0;51;4416;245;2256
0009.701;-481;0;51;4416;245;2301
0009.719;-501;-2;51;4416;245;2278
0009.732;-481;0;51;4416;245;2278
0009.749;-481;0;51;4416;245;2278
0009.762;-481;0;51;4416;245;2278
0009.780;-481;0;51;4416;245;2278
0009.793;-501;0;51;4416;245;2256
0009.810;-481;4;51;4416;245;2278
0009.823;-501;0;51;4416;245;2256
0009.841;-481;0;51;4416;245;2278
0009.858;-481;2;51;4416;245;2256
0009.871;-481;2;51;4416;245;2256
0009.889;-481;2;51;4416;245;2278
0009.906;-501;0;51;4416;245;2256
0009.919;-481;4;51;4416;245;2234
0009.936;-481;0;51;4416;245;2256
0009.950;-481;0;51;4416;255;2256
0009.967;-501;0;51;4416;245;2256
0009.980;-481;2;51;4416;245;2256
0009.997;-501;0;51;4416;245;2256
0010.010;-481;0;51;4416;245;2256
0010.028;-481;0;51;4416;245;2256
0010.045;-501;0;51;4416;245;2256
0010.058;-481;2;51;4416;245;2256
0010.076;-501;0;51;4416;245;2256
0010.089;-501;0;51;4416;245;2234
0010.106;-481;0;51;4416;245;2256
0010.124;-481;2;51;4416;245;2256
0010.137;-481;2;51;4416;245;2234
0010.154;-501;-2;51;4416;245;2256
0010.167;-481;2;51;4416;245;2256
0010.184;-501;0;51;4416;245;2234
0010.202;-481;0;51;4416;245;2256
0010.215;-501;-2;51;4416;245;2234
0010.228;-481;0;51;4416;245;2234
0010.245;-481;2;51;4416;245;2256
0010.263;-481;4;51;4416;245;2234
0010.276;-481;0;51;4416;245;2256
0010.293;-501;0;51;4416;245;2234
0010.311;-481;4;51;4416;245;2256
0010.324;-501;-2;51;4416;245;2234
0010.341;-481;0;51;4416;255;2234
0010.354;-481;0;51;4416;245;2234
0010.372;-481;2;51;4416;245;2234
0010.385;-481;4;51;4416;245;2234
