temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0012.585;-4987;8;1820
0012.601;-4987;10;1820
0012.614;-4987;12;1820
0012.630;-4967;14;1820
0012.646;-4947;14;1820
0012.662;-4967;14;1820
0012.675;-4967;12;1820
0012.707;-4947;8;1820
0012.723;-4947;12;1820
0012.739;-4907;14;1820
0012.755;-4907;10;1820
0012.771;-4887;12;1820
0012.785;-4887;14;1820
0012.801;-4867;12;1820
0012.817;-4867;16;1820
0012.833;-4867;18;1820
0012.849;-4827;18;1820
0012.865;-4807;18;1820
0012.894;-4787;18;1820
0012.910;-4787;16;1820
0012.926;-4787;16;1820
0012.942;-4727;14;1820
0012.958;-4767;12;1820
0012.974;-4767;18;1820
0012.990;-4747;14;1820
0013.003;-4707;18;1820
0013.019;-4687;14;1820
0013.035;-4667;12;1820
0013.051;-4687;12;1820
0013.067;-4647;18;1820
0013.081;-4647;16;1820
0013.097;-4647;18;1820
0013.113;-4647;16;1820
0013.129;-4607;18;1820
0013.145;-4607;18;1820
0013.161;-4587;16;1820
0013.177;-4607;12;1820
0013.190;-4587;12;1820
0013.206;-4547;16;1820
0013.222;-4567;16;1820
0013.238;-4547;16;1820
0013.254;-4506;20;1820
0013.267;-4506;18;1820
0013.283;-4486;20;1820
0013.299;-4486;18;1820
0013.315;-4466;18;1820
0013.331;-4446;18;1820
0013.347;-4406;22;1820
0013.363;-4406;20;1820
0013.377;-4406;18;1820
0013.393;-4386;20;1820
0013.409;-4366;20;1820
0013.425;-4326;18;1820
0013.441;-4306;22;1820
0013.454;-4326;20;1820
0013.470;-4286;20;1820
0013.486;-4306;18;1820
0013.502;-4246;22;1820
0013.518;-4226;22;1820
0013.534;-4226;20;1820
0013.550;-4186;20;1820
0013.566;-4226;18;1820
0013.579;-4166;22;1820
0013.595;-4166;24;1820
0013.611;-4166;22;1820
0013.627;-4126;22;1820
0013.641;-4106;20;1820
0013.657;-4106;20;1820
0013.673;-4066;18;1820
0013.689;-4106;16;1820
0013.705;-4046;20;1820
0013.721;-4046;20;1820
0013.737;-4026;22;1820
0013.753;-4026;18;1820
0013.766;-3986;22;1820
0013.782;-3966;22;1820
0013.798;-3946;20;1820
0013.814;-3906;20;1820
0013.830;-3906;20;1820
0013.843;-3926;20;1820
0013.859;-3886;18;1820
0013.875;-3866;20;1820
0013.891;-3825;20;1820
0013.908;-3825;20;1820
0013.923;-3805;26;1820
0013.939;-3765;28;1820
0013.955;-3745;24;1820
0013.969;-3705;26;1820
0013.985;-3705;22;1820
0014.001;-3685;24;1820
0014.017;-3645;24;1820
0014.030;-3645;26;1820
0014.046;-3625;26;1820
0014.062;-3585;22;1820
0014.078;-3605;20;1820
0014.094;-3565;22;1820
0014.110;-3545;24;1820
0014.126;-3525;22;1820
0014.142;-3505;22;1820
0014.155;-3505;22;1820
0014.174;-3465;18;1820
0014.187;-3465;20;1820
0014.203;-3465;18;1820
0014.219;-3445;20;1820
0014.235;-3425;18;1820
0014.249;-3405;22;1820
0014.265;-3365;26;1820
0014.281;-3365;20;1820
0014.299;-3325;20;1820
0014.313;-3325;18;1820
0014.329;-3305;20;1820
0014.342;-3325;20;1820
0014.358;-3285;20;1820
0014.374;-3245;22;1820
0014.390;-3205;26;1820
0014.409;-3185;22;1820
0014.425;-3185;26;1820
0014.435;-3145;22;1820
0014.451;-3104;26;1820
0014.467;-3104;22;1820
0014.483;-3084;28;1820
0014.499;-3064;22;1820
0014.515;-3064;20;1820
0014.531;-3044;16;1820
0014.545;-3024;18;1820
0014.561;-3004;16;1820
0014.577;-3004;18;1820
0014.593;-2964;22;1820
0014.609;-2984;26;1820
0014.622;-2964;26;1820
0014.638;-2904;20;1820
0014.654;-2904;24;1820
0014.670;-2864;20;1820
0014.686;-2864;22;1820
0014.702;-2824;26;1820
0014.718;-2824;24;1820
0014.731;-2764;24;1820
0014.747;-2764;26;1820
0014.763;-2744;24;1820
0014.779;-2764;16;1820
0014.795;-2704;20;1820
0014.809;-2704;20;1820
0014.825;-2664;24;1820
0014.841;-2684;24;1820
0014.857;-2664;22;1820
0014.873;-2644;18;1820
0014.889;-2624;16;1820
0014.905;-2604;16;1820
0014.921;-2624;14;1820
0014.934;-2604;10;1820
0014.950;-2604;14;1820
0014.966;-2564;14;1820
0014.982;-2584;10;1820
0014.998;-2544;16;1820
0015.011;-2544;14;1820
0015.027;-2524;20;1820
0015.043;-2484;16;1820
0015.059;-2484;22;1820
0015.075;-2464;20;1820
0015.091;-2444;18;1820
0015.107;-2403;20;1820
0015.121;-2383;22;1820
0015.139;-2343;28;1820
0015.153;-2343;24;1820
0015.169;-2303;24;1820
0015.185;-2323;22;1820
0015.198;-2283;26;1820
0015.214;-2263;26;1820
