temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0011.307;-03785;-0026;-1820
0011.337;-03846;-0024;-1820
0011.353;-03886;-0026;-1820
0011.369;-03866;-0024;-1820
0011.385;-03926;-0022;-1820
0011.401;-03946;-0022;-1820
0011.417;-03966;-0024;-1820
0011.433;-04006;-0024;-1820
0011.446;-04006;-0022;-1820
0011.462;-04066;-0026;-1820
0011.478;-04086;-0028;-1820
0011.494;-04086;-0028;-1820
0011.523;-04146;-0026;-1820
0011.539;-04186;-0028;-1820
0011.555;-04206;-0026;-1820
0011.571;-04266;-0026;-1820
0011.587;-04266;-0024;-1820
0011.603;-04306;-0030;-1820
0011.619;-04346;-0028;-1820
0011.633;-04366;-0024;-1820
0011.651;-04386;-0024;-1820
0011.665;-04426;-0024;-1820
0011.681;-04286;-0006;-1820
0011.697;-04466;-0026;-1820
0011.713;-04486;-0024;-1820
0011.742;-04526;-0024;-1820
0011.758;-04587;-0028;-1820
0011.777;-04607;-0028;-1820
0011.790;-04647;-0026;-1820
0011.806;-04667;-0030;-1820
0011.819;-04727;-0030;-1820
0011.838;-04747;-0028;-1820
0011.851;-04727;-0028;-1820
0011.867;-04767;-0028;-1820
0011.883;-04787;-0026;-1820
0011.899;-04827;-0024;-1820
0011.913;-04847;-0024;-1820
0011.929;-04887;-0026;-1820
0011.945;-04907;-0024;-1820
0011.961;-04947;-0022;-1820
0011.977;-04947;-0018;-1820
0011.993;-04967;-0020;-1820
0012.006;-05007;-0022;-1820
0012.025;-04987;-0016;-1820
0012.041;-05047;-0018;-1820
0012.057;-05087;-0022;-1820
0012.070;-05147;-0030;-1820
0012.083;-05107;-0028;-1820
0012.099;-05127;-0024; 1820
0012.115;-05187;-0026; 1820
0012.131;-05207;-0020; 1820
0012.147;-05207;-0016; 1820
0012.163;-05207;-0006; 1820
0012.179;-05187; 0000; 1820
0012.195;-05207; 0008; 1820
0012.209;-05147; 0014; 1820
0012.225;-05147; 0018; 1820
0012.241;-05167; 0016; 1820
0012.257;-05127; 0016; 1820
0012.273;-05107; 0014; 1820
0012.289;-05107; 0016; 1820
0012.302;-05087; 0016; 1820
0012.318;-05087; 0014; 1820
0012.334;-05087; 0010; 1820
0012.350;-05107; 0008; 1820
0012.366;-05067; 0006; 1820
0012.382;-05087; 0004; 1820
0012.398;-05087; 0000; 1820
0012.411;-05067; 0006; 1820
0012.427;-05067; 0006; 1820
0012.443;-05067; 0010; 1820
0012.459;-05047; 0014; 1820
0012.489;-05047; 0010; 1820
0012.505;-05047; 0010; 1820
0012.521;-05027; 0012; 1820
0012.537;-05047; 0010; 1820
0012.553;-05027; 0012; 1820
0012.569;-05007; 0010; 1820
0012.585;-04987; 0008; 1820
0012.601;-04987; 0010; 1820
0012.614;-04987; 0012; 1820
0012.630;-04967; 0014; 1820
0012.646;-04947; 0014; 1820
0012.662;-04967; 0014; 1820
0012.675;-04967; 0012; 1820
0012.707;-04947; 0008; 1820
0012.723;-04947; 0012; 1820
0012.739;-04907; 0014; 1820
0012.755;-04907; 0010; 1820
0012.771;-04887; 0012; 1820
0012.785;-04887; 0014; 1820
0012.801;-04867; 0012; 1820
0012.817;-04867; 0016; 1820
0012.833;-04867; 0018; 1820
0012.849;-04827; 0018; 1820
0012.865;-04807; 0018; 1820
0012.894;-04787; 0018; 1820
0012.910;-04787; 0016; 1820
0012.926;-04787; 0016; 1820
