Temps,Ecart,I moteur,Mesure,vitesse,accélération,position,U moteur,Consigne,Sortie Reg.,S. Action P.
s,mm/s,mA,mm/s,mm/s,mm/s²,mm,V,mm/s,inc,mm/s
0.230,22.966,218.750,79.061,79.061,245.998,32.507,18.750,99.915,348.000,45.932
0.240,20.854,202.148,80.908,80.908,202.746,33.295,19.032,99.915,316.000,41.708
0.250,19.006,187.988,82.492,82.492,178.416,34.099,19.358,99.915,288.000,38.012
0.260,17.422,177.734,83.812,83.812,148.680,34.915,19.510,99.915,264.000,34.845
0.270,16.102,167.969,84.868,84.868,124.351,35.742,19.661,99.915,244.000,32.205
0.280,15.047,153.809,85.660,85.660,102.725,36.578,19.965,99.915,228.000,30.093
0.290,14.255,151.855,86.584,86.584,89.208,37.422,20.237,99.915,216.000,28.509
0.300,13.331,150.391,87.244,87.244,75.692,38.273,20.041,99.915,202.000,26.661
0.310,12.671,140.137,87.772,87.772,64.879,39.129,20.030,99.915,192.000,25.342
0.320,12.143,132.324,88.300,88.300,51.362,39.991,20.215,99.915,184.000,24.286
0.330,11.615,135.254,88.696,88.696,48.659,40.856,20.367,99.915,176.000,23.230
0.340,11.219,128.906,89.092,89.092,40.549,41.726,20.454,99.915,170.000,22.438
0.350,10.823,128.906,89.488,89.488,35.143,42.599,20.605,99.915,164.000,21.646
0.360,10.427,127.930,89.620,89.620,29.736,43.474,20.258,99.915,158.000,20.854
0.370,10.295,126.953,89.752,89.752,21.626,44.350,20.313,99.915,156.000,20.590
0.380,10.163,115.723,89.356,89.356,5.407,45.225,20.605,99.915,154.000,20.326
0.390,10.559,129.883,90.148,90.148,18.923,46.105,20.475,99.915,160.000,21.118
0.400,9.767,125.000,90.148,90.148,10.813,46.986,20.497,99.915,148.000,19.534
0.410,9.767,119.141,90.411,90.411,24.330,47.869,20.595,99.915,148.000,19.534
0.420,9.503,127.441,90.543,90.543,0.000,48.752,20.475,99.915,144.000,19.006
0.430,9.371,120.605,90.411,90.411,21.626,49.636,20.486,99.915,142.000,18.742
0.440,9.503,117.676,90.675,90.675,5.407,50.521,20.736,99.915,144.000,19.006
0.450,9.239,118.652,90.807,90.807,10.813,51.408,20.573,99.915,140.000,18.478
0.460,9.107,117.676,90.675,90.675,8.110,52.294,20.627,99.915,138.000,18.214
0.470,9.239,120.117,90.939,90.939,2.703,53.182,20.605,99.915,140.000,18.478
0.480,8.975,117.676,90.807,90.807,5.407,54.068,20.388,99.915,136.000,17.950
0.490,9.107,116.699,90.939,90.939,8.110,54.956,20.866,99.915,138.000,18.214
0.500,8.975,114.258,90.939,90.939,-2.703,55.844,20.551,99.915,136.000,17.950
0.510,8.975,112.793,91.071,91.071,10.813,56.734,20.736,99.915,136.000,17.950
0.520,8.843,118.164,91.203,91.203,2.703,57.624,20.660,99.915,134.000,17.686
0.530,8.711,109.375,91.071,91.071,5.407,58.514,20.844,99.915,132.000,17.422
0.540,8.843,114.746,91.335,91.335,5.407,59.405,20.736,99.915,134.000,17.686
0.550,8.579,116.699,91.335,91.335,5.407,60.297,20.562,99.915,130.000,17.158
0.560,8.579,113.281,91.203,91.203,5.407,61.189,20.801,99.915,130.000,17.158
0.570,8.711,108.398,91.335,91.335,-2.703,62.082,20.768,99.915,132.000,17.422
0.580,8.579,118.164,91.599,91.599,10.813,62.974,20.703,99.915,130.000,17.158
0.590,8.315,110.840,91.335,91.335,2.703,63.867,20.909,99.915,126.000,16.630
0.600,8.579,111.328,91.335,91.335,-2.703,64.761,20.844,99.915,130.000,17.158
0.610,8.579,116.699,91.335,91.335,-2.703,65.649,20.638,99.915,130.000,17.158
0.620,8.579,122.070,91.467,91.467,8.110,66.542,20.681,99.915,130.000,17.158
0.630,8.447,117.676,91.203,91.203,-8.110,67.434,20.768,99.915,128.000,16.894
0.640,8.711,112.793,91.203,91.203,-2.703,68.321,20.681,99.915,132.000,17.422
0.650,8.711,114.746,91.599,91.599,2.703,69.215,20.844,99.915,132.000,17.422
0.660,8.315,112.793,91.599,91.599,10.813,70.109,20.844,99.915,126.000,16.630
0.670,8.315,110.840,91.599,91.599,2.703,71.003,20.833,99.915,126.000,16.630
0.680,8.315,113.770,91.467,91.467,-2.703,71.895,20.692,99.915,126.000,16.630
0.690,8.447,106.934,91.071,91.071,-2.703,72.786,20.736,99.915,128.000,16.894
0.700,8.843,115.234,91.203,91.203,-8.110,73.676,20.671,99.915,134.000,17.686
0.710,8.711,116.699,91.203,91.203,-5.407,74.566,20.714,99.915,132.000,17.422
0.720,8.711,114.258,90.939,90.939,-5.407,75.454,20.345,99.915,132.000,17.422
0.730,8.975,110.352,90.939,90.939,-13.516,76.342,20.801,99.915,136.000,17.950
0.740,8.975,117.188,91.071,91.071,0.000,77.232,20.562,99.915,136.000,17.950
0.750,8.843,113.770,90.939,90.939,0.000,78.120,20.432,99.915,134.000,17.686
0.760,8.975,111.328,90.939,90.939,-5.407,79.006,20.768,99.915,136.000,17.950
0.770,8.975,114.258,91.467,91.467,8.110,79.894,20.779,99.915,136.000,17.950
0.780,8.447,115.234,90.675,90.675,-2.703,80.782,20.638,99.915,128.000,16.894
0.790,9.239,112.793,91.203,91.203,2.703,81.672,20.812,99.915,140.000,18.478
0.800,8.711,104.492,91.203,91.203,-5.407,82.563,20.898,99.915,132.000,17.422
0.810,8.711,111.816,91.203,91.203,21.626,83.451,20.616,99.915,132.000,17.422
0.820,8.711,119.629,91.071,91.071,-18.923,84.338,20.768,99.915,132.000,17.422
0.830,8.843,114.746,91.071,91.071,8.110,85.228,20.519,0.000,134.000,17.686
0.840,-91.071,-396.484,84.868,84.868,-129.757,86.077,16.938,0.000,-1023.000,-182.143
0.850,-84.868,-333.984,75.101,75.101,-327.097,86.825,10.818,0.000,-1023.000,-169.736
