;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
438;    1,786876;   -3,103000;    1,786876;   -4,170000;
439;    1,790982;   -3,052000;    1,790982;   -4,121000;
440;    1,795085;   -3,001000;    1,795085;   -4,067000;
441;    1,799172;   -2,949000;    1,799172;   -4,017000;
442;    1,803275;   -2,897000;    1,803275;   -3,958000;
443;    1,807379;   -2,844000;    1,807379;   -3,893000;
444;    1,811512;   -2,791000;    1,811512;   -3,824000;
445;    1,815560;   -2,738000;    1,815560;   -3,760000;
446;    1,819663;   -2,684000;    1,819663;   -3,691000;
447;    1,823747;   -2,629000;    1,823747;   -3,622000;
448;    1,827847;   -2,574000;    1,827847;   -3,553000;
449;    1,831954;   -2,519000;    1,831954;   -3,485000;
450;    1,836032;   -2,463000;    1,836032;   -3,420000;
451;    1,840167;   -2,406000;    1,840167;   -3,361000;
452;    1,844222;   -2,350000;    1,844222;   -3,319000;
453;    1,848325;   -2,293000;    1,848325;   -3,275000;
454;    1,852432;   -2,236000;    1,852432;   -3,236000;
455;    1,856508;   -2,178000;    1,856508;   -3,198000;
456;    1,860614;   -2,120000;    1,860614;   -3,162000;
457;    1,864719;   -2,062000;    1,864719;   -3,120000;
458;    1,868821;   -2,003000;    1,868821;   -3,085000;
459;    1,872911;   -1,944000;    1,872911;   -3,035000;
460;    1,877006;   -1,884000;    1,877006;   -2,972000;
461;    1,881082;   -1,825000;    1,881082;   -2,899000;
462;    1,885196;   -1,765000;    1,885196;   -2,830000;
463;    1,889278;   -1,704000;    1,889278;   -2,757000;
464;    1,893379;   -1,644000;    1,893379;   -2,690000;
465;    1,897482;   -1,583000;    1,897482;   -2,632000;
466;    1,901587;   -1,521000;    1,901587;   -2,581000;
467;    1,905682;   -1,460000;    1,905682;   -2,539000;
468;    1,909750;   -1,399000;    1,909750;   -2,507000;
469;    1,913871;   -1,336000;    1,913871;   -2,475000;
470;    1,917954;   -1,275000;    1,917954;   -2,433000;
471;    1,922057;   -1,212000;    1,922057;   -2,392000;
472;    1,926165;   -1,149000;    1,926165;   -2,345000;
473;    1,930249;   -1,087000;    1,930249;   -2,294000;
474;    1,934327;   -1,024000;    1,934327;   -2,242000;
475;    1,938431;   -0,961000;    1,938431;   -2,190000;
476;    1,942541;   -0,898000;    1,942541;   -2,134000;
477;    1,946615;   -0,835000;    1,946615;   -2,084000;
478;    1,950715;   -0,771000;    1,950715;   -2,022000;
479;    1,954825;   -0,707000;    1,954825;   -1,952000;
480;    1,958902;   -0,644000;    1,958902;   -1,878000;
481;    1,963000;   -0,580000;    1,963000;   -1,804000;
482;    1,967178;   -0,515000;    1,967178;   -1,731000;
